type;name;data;unit
ValueBox;01SHUTTER;1,4800000000000002;us
ValueBox;02SHUTTER;126,5;us
ValueBox;Measrate;0,0001;kHz

MeasSignale
Zeitstempel [ms];01DIST1 [mm];02DIST1 [mm];01DIST1_PEAK [mm];02DIST1_PEAK [mm];01INTENSITY1 [%];02INTENSITY1 [%]
0,0000;6,63228;2147483396,00000;0,00000;2147483396,00000;0,388;0,000
0,0100;6,63228;2147483396,00000;0,00000;2147483396,00000;0,390;0,000
0,0200;6,63228;2147483396,00000;0,00000;2147483396,00000;0,391;0,000
0,0300;6,63212;2147483396,00000;0,00016;2147483396,00000;0,393;0,000
0,0400;6,63202;2147483396,00000;0,00026;2147483396,00000;0,393;0,000
0,0500;6,63179;2147483396,00000;0,00050;2147483396,00000;0,392;0,000
0,0600;6,63162;2147483396,00000;0,00066;2147483396,00000;0,390;0,000
0,0700;6,63150;2147483396,00000;0,00079;2147483396,00000;0,391;0,000
0,0800;6,63147;2147483396,00000;0,00081;2147483396,00000;0,392;0,000
0,0900;6,63146;2147483396,00000;0,00083;2147483396,00000;0,393;0,000
0,1000;6,63144;2147483396,00000;0,00084;2147483396,00000;0,391;0,000
0,1100;6,63141;2147483396,00000;0,00087;2147483396,00000;0,394;0,000
0,1200;6,63139;2147483396,00000;0,00089;2147483396,00000;0,392;0,000
0,1300;6,63137;2147483396,00000;0,00091;2147483396,00000;0,391;0,000
0,1400;6,63135;2147483396,00000;0,00093;2147483396,00000;0,394;0,000
0,1500;6,63134;2147483396,00000;0,00095;2147483396,00000;0,391;0,000
0,1600;6,63126;2147483396,00000;0,00102;2147483396,00000;0,392;0,000
0,1700;6,63115;2147483396,00000;0,00113;2147483396,00000;0,391;0,000
0,1900;6,63098;2147483396,00000;0,00130;2147483396,00000;0,390;0,000
0,2000;6,63098;2147483396,00000;0,00130;2147483396,00000;0,392;0,000
0,2100;6,63105;2147483396,00000;0,00130;2147483396,00000;0,389;0,000
0,2200;6,63111;2147483396,00000;0,00130;2147483396,00000;0,392;0,000
0,2300;6,63113;2147483396,00000;0,00130;2147483396,00000;0,393;0,000
0,2500;6,63107;2147483396,00000;0,00130;2147483396,00000;0,393;0,000
0,2600;6,63104;2147483396,00000;0,00130;2147483396,00000;0,392;0,000
0,2700;6,63102;2147483396,00000;0,00130;2147483396,00000;0,391;0,000
0,2800;6,63101;2147483396,00000;0,00130;2147483396,00000;0,392;0,000
0,2900;6,63100;2147483396,00000;0,00130;2147483396,00000;0,392;0,000
0,3000;6,63099;2147483396,00000;0,00130;2147483396,00000;0,392;0,000
0,3100;6,63099;2147483396,00000;0,00130;2147483396,00000;0,389;0,000
